Athlete,Country,Gold,Silver,Bronze,Total,year
Raúl Fernández,Mexico,0,0,1,1,1936
Andrés Gómez,Mexico,0,0,1,1,1936
Silvio Hernández,Mexico,0,0,1,1,1936
Francisco Martínez,Mexico,0,0,1,1,1936
Jesús Olmos,Mexico,0,0,1,1,1936
José Pamplona,Mexico,0,0,1,1,1936
Greer Skousen,Mexico,0,0,1,1,1936
Erik Ågren,Sweden,0,0,1,1,1936
Lou Laurie,United States,0,0,1,1,1936
Xaver Hörmann,Germany,0,0,1,1,1936
Erich Koschik,Germany,0,0,1,1,1936
Jaap Kraaier,Netherlands,0,0,1,1,1936
Nicolaas Tates,Netherlands,0,0,1,1,1936
Wim van der Kroft,Netherlands,0,0,1,1,1936
Cor Wijdekop,Netherlands,0,0,1,1,1936
Piet Wijdekop,Netherlands,0,0,1,1,1936
Tage Fahlborg,Sweden,0,0,1,1,1936
Helge Larsson,Sweden,0,0,1,1,1936
Ernie Riedel,United States,0,0,1,1,1936
Gregor Adlercreutz,Sweden,0,0,1,1,1936
José Beltrão,Portugal,0,0,1,1,1936
Sven Colliander,Sweden,0,0,1,1,1936
Dick Fanshawe,Great Britain,0,0,1,1,1936
Ted Howard-Vyse,Great Britain,0,0,1,1,1936
Hans Lunding,Denmark,0,0,1,1,1936
"Domingos Coutinho, Márquês do Funchal",Portugal,0,0,1,1,1936
Luís Silva,Portugal,0,0,1,1,1936
Alois Podhajsky,Austria,0,0,1,1,1936
Folke Sandström,Sweden,0,0,1,1,1936
Alec Scott,Great Britain,0,0,1,1,1936
József Platthy,Hungary,0,0,1,1,1936
Louis Chaillot,France,0,0,1,1,1936
Auguste Garrebeek,Belgium,0,0,1,1,1936
Harry Hill,Great Britain,0,0,1,1,1936
Ernest Johnson,Great Britain,0,0,1,1,1936
Rudolf Karsch,Germany,0,0,1,1,1936
Charles King,Great Britain,0,0,1,1,1936
Jef Lowagie,Belgium,0,0,1,1,1936
Georges Maton,France,0,0,1,1,1936
Ernie Mills,Great Britain,0,0,1,1,1936
Armand Putzeyse,Belgium,0,0,1,1,1936
Jean-François Van Der Motte,Belgium,0,0,1,1,1936
Juan Gracia,Mexico,0,0,1,1,1936
Julio Müller,Mexico,0,0,1,1,1936
Antonio Nava,Mexico,0,0,1,1,1936
Alberto Ramos,Mexico,0,0,1,1,1936
Henk de Looper,Netherlands,0,0,1,1,1936
Jan de Looper,Netherlands,0,0,1,1,1936
Aat de Roos,Netherlands,0,0,1,1,1936
Rein de Waal,Netherlands,0,0,1,1,1936
Piet Gunning,Netherlands,0,0,1,1,1936
Inge Heijbroek,Netherlands,0,0,1,1,1936
Hans Schnitger,Netherlands,0,0,1,1,1936
René Sparenberg,Netherlands,0,0,1,1,1936
Ernst van den Berg,Netherlands,0,0,1,1,1936
Ru van der Haar,Netherlands,0,0,1,1,1936
Tonny van Lierop,Netherlands,0,0,1,1,1936
Max Westerkamp,Netherlands,0,0,1,1,1936
Ellen Müller-Preis,Austria,0,0,1,1,1936
Géo Buchard,France,0,0,1,1,1936
Philippe Cattiau,France,0,0,1,1,1936
Henri Dulieux,France,0,0,1,1,1936
Michel Pécheux,France,0,0,1,1,1936
Bernard Schmetz,France,0,0,1,1,1936
Paul Wormser,France,0,0,1,1,1936
Otto Adam,Germany,0,0,1,1,1936
Hans Esser,Germany,0,0,1,1,1936
Hans-Georg Jörger,Germany,0,0,1,1,1936
Siegfried Lerdon,Germany,0,0,1,1,1936
Stefan Rosenbauer,Germany,0,0,1,1,1936
Richard Wahl,Germany,0,0,1,1,1936
Arne Brustad,Norway,0,0,1,1,1936
Nils Eriksen,Norway,0,0,1,1,1936
Odd Frantzen,Norway,0,0,1,1,1936
Sverre Hansen,Norway,0,0,1,1,1936
Rolf Holmberg,Norway,0,0,1,1,1936
Øivind Holmsen,Norway,0,0,1,1,1936
Fredrik Horn,Norway,0,0,1,1,1936
Magnar Isaksen,Norway,0,0,1,1,1936
Henry Johansen,Norway,0,0,1,1,1936
Jørgen Juve,Norway,0,0,1,1,1936
Reidar Kvammen,Norway,0,0,1,1,1936
Alf Martinsen,Norway,0,0,1,1,1936
Magdalon Monsen,Norway,0,0,1,1,1936
Frithjof Ulleberg,Norway,0,0,1,1,1936
Margit Csillik,Hungary,0,0,1,1,1936
Margit Kalocsai,Hungary,0,0,1,1,1936
Ilona Madary,Hungary,0,0,1,1,1936
Gabriella Mészáros,Hungary,0,0,1,1,1936
Margit Nagy-Sándor,Hungary,0,0,1,1,1936
Judit Tóth,Hungary,0,0,1,1,1936
Olga Tőrös,Hungary,0,0,1,1,1936
Eszter Voit,Hungary,0,0,1,1,1936
Mauri Noroma,Finland,0,0,1,1,1936
Ilmari Pakarinen,Finland,0,0,1,1,1936
Heikki Savolainen,Finland,0,0,1,1,1936
Esa Seeste,Finland,0,0,1,1,1936
Einari Teräsvirta,Finland,0,0,1,1,1936
Eino Tukiainen,Finland,0,0,1,1,1936
Martti Uosikkinen,Finland,0,0,1,1,1936
Max Bloesch,Switzerland,0,0,1,1,1936
Rolf Faes,Switzerland,0,0,1,1,1936
Burkhard Gantenbein,Switzerland,0,0,1,1,1936
Willy Gysi,Switzerland,0,0,1,1,1936
Erland Herkenrath,Switzerland,0,0,1,1,1936
Ernst Hufschmid,Switzerland,0,0,1,1,1936
Willy Hufschmid,Switzerland,0,0,1,1,1936
Werner Meyer,Switzerland,0,0,1,1,1936
Georg Mischon,Switzerland,0,0,1,1,1936
Werner Scheurmann,Switzerland,0,0,1,1,1936
Edy Schmid,Switzerland,0,0,1,1,1936
Erich Schmitt,Switzerland,0,0,1,1,1936
Willy Schäfer,Switzerland,0,0,1,1,1936
Eugen Seiterle,Switzerland,0,0,1,1,1936
Max Streib,Switzerland,0,0,1,1,1936
Robert Studer,Switzerland,0,0,1,1,1936
Rudolf Wirz,Switzerland,0,0,1,1,1936
Silvano Abbà,Italy,0,0,1,1,1936
Julio Curatella,Argentina,0,0,1,1,1936
Horacio Podestá,Argentina,0,0,1,1,1936
Marcel Chauvigné,France,0,0,1,1,1936
Jean Cosmat,France,0,0,1,1,1936
Marceau Fourcade,France,0,0,1,1,1936
Georges Tapie,France,0,0,1,1,1936
Fernand Vandernotte,France,0,0,1,1,1936
Marcel Vandernotte,France,0,0,1,1,1936
Hans-Joachim Hannemann,Germany,0,0,1,1,1936
Heinz Kaufmann,Germany,0,0,1,1,1936
Hans Kuschke,Germany,0,0,1,1,1936
Werner Loeckle,Germany,0,0,1,1,1936
Wilhelm Mahlow,Germany,0,0,1,1,1936
Helmut Radach,Germany,0,0,1,1,1936
Alfred Rieck,Germany,0,0,1,1,1936
Herbert Schmidt,Germany,0,0,1,1,1936
Gerd Völs,Germany,0,0,1,1,1936
Jerzy Ustupski,Poland,0,0,1,1,1936
Roger Verey,Poland,0,0,1,1,1936
Dan Barrow,United States,0,0,1,1,1936
Charles des Jammonières,France,0,0,1,1,1936
Władysław Karaś,Poland,0,0,1,1,1936
Gérard Blitz,Belgium,0,0,1,1,1936
Pierre Coppieters,Belgium,0,0,1,1,1936
Joseph De Combe,Belgium,0,0,1,1,1936
Inge Sørensen,Denmark,0,0,1,1,1936
Käthe Köhler,Germany,0,0,1,1,1936
Hermann Stork,Germany,0,0,1,1,1936
Oszkár Abay-Nemes,Hungary,0,0,1,1,1936
Ödön Gróf,Hungary,0,0,1,1,1936
Árpád Lengyel,Hungary,0,0,1,1,1936
Masaji Kiyokawa,Japan,0,0,1,1,1936
Reizo Koike,Japan,0,0,1,1,1936
Shozo Makino,Japan,0,0,1,1,1936
Alice Bridges,United States,0,0,1,1,1936
Mavis Freeman,United States,0,0,1,1,1936
Lenore Kight-Wingard,United States,0,0,1,1,1936
Bernice Lapp,United States,0,0,1,1,1936
Olive McKean,United States,0,0,1,1,1936
Al Greene,United States,0,0,1,1,1936
Albert Casteleyns,Belgium,0,0,1,1,1936
Henri De Pauw,Belgium,0,0,1,1,1936
Henri Disy,Belgium,0,0,1,1,1936
Fernand Isselé,Belgium,0,0,1,1,1936
Edmond Michiels,Belgium,0,0,1,1,1936
Henri Stoelen,Belgium,0,0,1,1,1936
Ibrahim Shams,Egypt,0,0,1,1,1936
Wasif Ibrahim,Egypt,0,0,1,1,1936
Arnold Luhaäär,Estonia,0,0,1,1,1936
Karl Jansen,Germany,0,0,1,1,1936
Adolf Wagner,Germany,0,0,1,1,1936
Joe Schleimer,Canada,0,0,1,1,1936
Voldemar Väli,Estonia,0,0,1,1,1936
Hjalmar Nyström,Finland,0,0,1,1,1936
Hermanni Pihlajamäki,Finland,0,0,1,1,1936
Eino Virtanen,Finland,0,0,1,1,1936
Jakob Brendel,Germany,0,0,1,1,1936
Johannes Herbert,Germany,0,0,1,1,1936
Kurt Hornfischer,Germany,0,0,1,1,1936
Erich Siebert,Germany,0,0,1,1,1936
József Palotás,Hungary,0,0,1,1,1936
Gösta Jönsson-Frändfors,Sweden,0,0,1,1,1936
Einar Karlsson,Sweden,0,0,1,1,1936
Ahmet Kireççi,Turkey,0,0,1,1,1936
Dagmar Salén,Sweden,0,0,1,1,1936
Fritz Bischoff,Germany,0,0,1,1,1936
Willem de Vries Lentsch,Netherlands,0,0,1,1,1936
Lennart Ekdahl,Sweden,0,0,1,1,1936
Martin Hindorff,Sweden,0,0,1,1,1936
Hans Howaldt,Germany,0,0,1,1,1936
Alfried von Bohlen und Halbach,Germany,0,0,1,1,1936
Torsten Lord,Sweden,0,0,1,1,1936
Eduard Mohr,Germany,0,0,1,1,1936
Bob Maas,Netherlands,0,0,1,1,1936
Sven Salén,Sweden,0,0,1,1,1936
Felix Scheder-Bieschin,Germany,0,0,1,1,1936
Peter Scott,Great Britain,0,0,1,1,1936
Otto Wachs,Germany,0,0,1,1,1936
Jack Metcalfe,Australia,0,0,1,1,1936
Dot Brookshaw,Canada,0,0,1,1,1936
Hilda Cameron,Canada,0,0,1,1,1936
Jeanette Dolson,Canada,0,0,1,1,1936
Aileen Meagher,Canada,0,0,1,1,1936
Betty Taylor,Canada,0,0,1,1,1936
Phil Edwards,Canada,0,0,1,1,1936
Kalervo Toivonen,Finland,0,0,1,1,1936
Elfriede Kaun,Germany,0,0,1,1,1936
Käthe Krauß,Germany,0,0,1,1,1936
Paula Mollenhauer,Germany,0,0,1,1,1936
Erich Borchmeyer,Germany,0,0,1,1,1936
Alfred Dompert,Germany,0,0,1,1,1936
Erwin Gillmeister,Germany,0,0,1,1,1936
Helmut Hamann,Germany,0,0,1,1,1936
Rudi Harbig,Germany,0,0,1,1,1936
Gerd Hornberger,Germany,0,0,1,1,1936
Wilhelm Leichum,Germany,0,0,1,1,1936
Harry Voigt,Germany,0,0,1,1,1936
Friedrich von Stülpnagel,Germany,0,0,1,1,1936
Luigi Beccali,Italy,0,0,1,1,1936
Giorgio Oberweger,Italy,0,0,1,1,1936
Nam Sung-Yong,Japan,0,0,1,1,1936
Sueo Oe,Japan,0,0,1,1,1936
Adalberts Bubenko,Latvia,0,0,1,1,1936
Miguel White,Philippines,0,0,1,1,1936
Maria Kwaśniewska,Poland,0,0,1,1,1936
Henry Jonsson,Sweden,0,0,1,1,1936
Fred Warngård,Sweden,0,0,1,1,1936
Jimmy Lu Valle,United States,0,0,1,1,1936
Jack Parker,United States,0,0,1,1,1936
Fritz Pollard,United States,0,0,1,1,1936
Delos Thurber,United States,0,0,1,1,1936
Herbert Kastinger,Austria,0,0,1,1,1936
Hermann Stiegholzer,Austria,0,0,1,1,1936
Hans Helmut Stoiber,Austria,0,0,1,1,1936
Jozuë Dupon,Belgium,0,0,1,1,1936
Harald Genzmer,Germany,0,0,1,1,1936
Theodor Nußbaum,Germany,0,0,1,1,1936
Ryuji Fujita,Japan,0,0,1,1,1936
Sujaku Suzuki,Japan,0,0,1,1,1936
Stanisław Ostoja-Chrostowski,Poland,0,0,1,1,1936
Jan Parandowski,Poland,0,0,1,1,1936
Stig Blomberg,Sweden,0,0,1,1,1936
Jaroslav Křička,Czechoslovakia,0,0,1,1,1936
Fanny Blankers-Koen,Netherlands,4,0,0,4,1948
Veikko Huhtanen,Finland,3,1,1,5,1948
Paavo Aaltonen,Finland,3,0,1,4,1948
Ann Curtis,United States,2,1,0,3,1948
Jimmy McLane,United States,2,1,0,3,1948
Humberto Mariles,Mexico,2,0,1,3,1948
Micheline Ostermeyer,France,2,0,1,3,1948
Mal Whitfield,United States,2,0,1,3,1948
Gert Fredriksson,Sweden,2,0,0,2,1948
Jéhan de Buhan,France,2,0,0,2,1948
Aladár Gerevich,Hungary,2,0,0,2,1948
Heikki Savolainen,Finland,2,0,0,2,1948
Vicki Draves,United States,2,0,0,2,1948
Wally Ris,United States,2,0,0,2,1948
Bill Smith,United States,2,0,0,2,1948
Roy Cochran,United States,2,0,0,2,1948
Harrison Dillard,United States,2,0,0,2,1948
Mel Patton,United States,2,0,0,2,1948
Frank Henry,United States,1,2,0,3,1948
Michael Reusch,Switzerland,1,2,0,3,1948
Karen Margrethe Harup,Denmark,1,2,0,3,1948
Barney Ewell,United States,1,2,0,3,1948
Sepp Stalder,Switzerland,1,1,1,3,1948
Steve Lysak,United States,1,1,0,2,1948
Steve Macknowski,United States,1,1,0,2,1948
André Jousseaumé,France,1,1,0,2,1948
Earl Thomson,United States,1,1,0,2,1948
Rubén Uriza,Mexico,1,1,0,2,1948
Christian d'Oriola,France,1,1,0,2,1948
Gino Cantone,Italy,1,1,0,2,1948
Olavi Rove,Finland,1,1,0,2,1948
Karl Frei,Switzerland,1,1,0,2,1948
Greta Andersen,Denmark,1,1,0,2,1948
Bruce Harlan,United States,1,1,0,2,1948
Arthur Wint,Jamaica,1,1,0,2,1948
Emil Zátopek,Czech Republic,1,1,0,2,1948
Ferenc Pataki,Hungary,1,0,2,3,1948
José Beyaert,France,1,0,1,2,1948
Jacques Dupont,France,1,0,1,2,1948
Lode Wouters,Belgium,1,0,1,2,1948
Pál Kovács,Hungary,1,0,1,2,1948
Sammy Lee,United States,1,0,1,2,1948
Tibor Csík,Hungary,1,0,0,1,1948
László Papp,Hungary,1,0,0,1,1948
Ernesto Formenti,Italy,1,0,0,1,1948
Rafael Iglesias,Argentina,1,0,0,1,1948
Pascual Pérez,Argentina,1,0,0,1,1948
Cliff Barker,United States,1,0,0,1,1948
Don Barksdale,United States,1,0,0,1,1948
Ralph Beard,United States,1,0,0,1,1948
Lew Beck,United States,1,0,0,1,1948
Vince Boryla,United States,1,0,0,1,1948
Gordon Carpenter,United States,1,0,0,1,1948
Alex Groza,United States,1,0,0,1,1948
Wally Jones,United States,1,0,0,1,1948
Bob Kurland,United States,1,0,0,1,1948
Ray Lumpp,United States,1,0,0,1,1948
R. C. Pitts,United States,1,0,0,1,1948
Jesse Renick,United States,1,0,0,1,1948
Jack Robinson,United States,1,0,0,1,1948
Kenny Rollins,United States,1,0,0,1,1948
Gerald Dreyer,South Africa,1,0,0,1,1948
George Hunter,South Africa,1,0,0,1,1948
Július Torma,Czechoslovakia,1,0,0,1,1948
Karen Hoff,Denmark,1,0,0,1,1948
Hans Berglund,Sweden,1,0,0,1,1948
Lennart Klingström,Sweden,1,0,0,1,1948
Hans Wetterström,Sweden,1,0,0,1,1948
Gunnar Åkerlund,Sweden,1,0,0,1,1948
Jan Brzák-Felix,Czech Republic,1,0,0,1,1948
František Čapek,Czech Republic,1,0,0,1,1948
Josef Holeček,Czech Republic,1,0,0,1,1948
Bohumil Kudrna,Czech Republic,1,0,0,1,1948
Charles Anderson,United States,1,0,0,1,1948
Maurice Buret,France,1,0,0,1,1948
Bernard Chevallier,France,1,0,0,1,1948
Hans Moser,Switzerland,1,0,0,1,1948
Jean Saint-Fort Paillard,France,1,0,0,1,1948
Alberto Valdés Ramos,Mexico,1,0,0,1,1948
Pierre Adam,France,1,0,0,1,1948
Serge Blusson,France,1,0,0,1,1948
Charles Coste,France,1,0,0,1,1948
Fernand Decanali,France,1,0,0,1,1948
Leon De Lathouwer,Belgium,1,0,0,1,1948
Mario Ghella,Italy,1,0,0,1,1948
Liévin Lerno,Belgium,1,0,0,1,1948
Renato Perona,Italy,1,0,0,1,1948
Ferdinando Terruzzi,Italy,1,0,0,1,1948
Eugène Van Roosbroeck,Belgium,1,0,0,1,1948
Leslie Claudius,India,1,0,0,1,1948
Walter de Sousa,India,1,0,0,1,1948
Keshav Dutt,India,1,0,0,1,1948
Lawrie Fernandes,India,1,0,0,1,1948
Ranganathan Francis,India,1,0,0,1,1948
Gerry Glackan,India,1,0,0,1,1948
Pat Jansen,India,1,0,0,1,1948
Amir Kumar,India,1,0,0,1,1948
Kishan Lal,India,1,0,0,1,1948
Leo Pinto,India,1,0,0,1,1948
Jaswant Rajput,India,1,0,0,1,1948
Reginald Rodrigues,India,1,0,0,1,1948
G. Nandy Singh,India,1,0,0,1,1948
Kunwar Digvijay Singh,India,1,0,0,1,1948
Tarlochan Singh Bawa,India,1,0,0,1,1948
"Balbir Singh, Sr.",India,1,0,0,1,1948
Randhir Singh Gentle,India,1,0,0,1,1948
Maxie Vaz,India,1,0,0,1,1948
Akhtar Hussain,India,1,0,0,1,1948
Latif-ur Rehman,India,1,0,0,1,1948
Ilona Elek-Schacherer,Hungary,1,0,0,1,1948
Édouard Artigas,France,1,0,0,1,1948
André Bonin,France,1,0,0,1,1948
René Bougnol,France,1,0,0,1,1948
Marcel Desprets,France,1,0,0,1,1948
Henri Guérin,France,1,0,0,1,1948
Maurice Huet,France,1,0,0,1,1948
Jacques Lataste,France,1,0,0,1,1948
Henri Lepage,France,1,0,0,1,1948
Michel Pécheux,France,1,0,0,1,1948
Adrien Rommel,France,1,0,0,1,1948
Tibor Berczelly,Hungary,1,0,0,1,1948
Rudolf Kárpáti,Hungary,1,0,0,1,1948
Bertalan Papp,Hungary,1,0,0,1,1948
László Rajcsányi,Hungary,1,0,0,1,1948
Sune Andersson,Sweden,1,0,0,1,1948
Henry Carlsson,Sweden,1,0,0,1,1948
Gunnar Gren,Sweden,1,0,0,1,1948
Börje Leander,Sweden,1,0,0,1,1948
Nils Liedholm,Sweden,1,0,0,1,1948
Torsten Lindberg,Sweden,1,0,0,1,1948
Erik Nilsson,Sweden,1,0,0,1,1948
Bertil Nordahl,Sweden,1,0,0,1,1948
Gunnar Nordahl,Sweden,1,0,0,1,1948
Knut Nordahl,Sweden,1,0,0,1,1948
Kjell Rosén,Sweden,1,0,0,1,1948
Birger Rosengren,Sweden,1,0,0,1,1948
Zdeňka Honsová,Czech Republic,1,0,0,1,1948
Marie Kovářová,Czech Republic,1,0,0,1,1948
Miloslava Misáková,Czech Republic,1,0,0,1,1948
Milena Müllerová,Czech Republic,1,0,0,1,1948
Věra Růžičková,Czech Republic,1,0,0,1,1948
Olga Šilhánová,Czech Republic,1,0,0,1,1948
Božena Srncová,Czech Republic,1,0,0,1,1948
Zdena Veřmiřovská,Czech Republic,1,0,0,1,1948
Sulo Salmi,Finland,1,0,0,1,1948
Aleksanteri Saarvala,Finland,1,0,0,1,1948
Einari Teräsvirta,Finland,1,0,0,1,1948
Wille Grut,Sweden,1,0,0,1,1948
Merv Wood,Australia,1,0,0,1,1948
Carl-Ebbe Andersen,Denmark,1,0,0,1,1948
Tage Henriksen,Denmark,1,0,0,1,1948
Finn Pedersen,Denmark,1,0,0,1,1948
Dickie Burnell,Great Britain,1,0,0,1,1948
Bert Bushnell,Great Britain,1,0,0,1,1948
Ran Laurie,Great Britain,1,0,0,1,1948
Jack Wilson,Great Britain,1,0,0,1,1948
Franco Faggi,Italy,1,0,0,1,1948
Giovanni Invernizzi,Italy,1,0,0,1,1948
Giuseppe Moioli,Italy,1,0,0,1,1948
Elio Morille,Italy,1,0,0,1,1948
George Ahlgren,United States,1,0,0,1,1948
Dave Brown,United States,1,0,0,1,1948
Lloyd Butler,United States,1,0,0,1,1948
Gordy Giovanelli,United States,1,0,0,1,1948
Jim Hardy,United States,1,0,0,1,1948
Bob Martin,United States,1,0,0,1,1948
Allen Morgan,United States,1,0,0,1,1948
Ralph Purchase,United States,1,0,0,1,1948
Justus Smith,United States,1,0,0,1,1948
John Stack,United States,1,0,0,1,1948
Dave Turner,United States,1,0,0,1,1948
Ian Turner,United States,1,0,0,1,1948
Warren Westlund,United States,1,0,0,1,1948
Bob Will,United States,1,0,0,1,1948
Károly Takács,Hungary,1,0,0,1,1948
Edwin Vásquez,Peru,1,0,0,1,1948
Emil Grünig,Switzerland,1,0,0,1,1948
Art Cook,United States,1,0,0,1,1948
Nel van Vliet,Netherlands,1,0,0,1,1948
Marie Corridon,United States,1,0,0,1,1948
Brenda Helser,United States,1,0,0,1,1948
Thelma Kalama,United States,1,0,0,1,1948
Allen Stack,United States,1,0,0,1,1948
Joe Verdeur,United States,1,0,0,1,1948
Wally Wolf,United States,1,0,0,1,1948
Gildo Arena,Italy,1,0,0,1,1948
Emilio Bulgarelli,Italy,1,0,0,1,1948
Pasquale Buonocore,Italy,1,0,0,1,1948
Aldo Ghira,Italy,1,0,0,1,1948
Mario Majoni,Italy,1,0,0,1,1948
Geminio Ognio,Italy,1,0,0,1,1948
Gianfranco Pandolfini,Italy,1,0,0,1,1948
Tullio Pandolfini,Italy,1,0,0,1,1948
Cesare Rubini,Italy,1,0,0,1,1948
Mahmoud Fayad,Egypt,1,0,0,1,1948
Ibrahim Shams,Egypt,1,0,0,1,1948
John Davis,United States,1,0,0,1,1948
Joe DePietro,United States,1,0,0,1,1948
Frank Spellman,United States,1,0,0,1,1948
Stan Stanczyk,United States,1,0,0,1,1948
Lenni Viitala,Finland,1,0,0,1,1948
Gyula Bóbis,Hungary,1,0,0,1,1948
Pietro Lombardi,Italy,1,0,0,1,1948
Gösta Andersson,Sweden,1,0,0,1,1948
Gustav Freij,Sweden,1,0,0,1,1948
Axel Grönberg,Sweden,1,0,0,1,1948
Karl-Erik Nilsson,Sweden,1,0,0,1,1948
Kurt Pettersén,Sweden,1,0,0,1,1948
Nasuh Akar,Turkey,1,0,0,1,1948
Celal Atik,Turkey,1,0,0,1,1948
Gazanfer Bilge,Turkey,1,0,0,1,1948
Yaşar Doğu,Turkey,1,0,0,1,1948
Ahmet Kireççi,Turkey,1,0,0,1,1948
Mehmet Oktav,Turkey,1,0,0,1,1948
Glen Brand,United States,1,0,0,1,1948
Henry Wittenberg,United States,1,0,0,1,1948
Hakon Barfod,Norway,1,0,0,1,1948
David Bond,Great Britain,1,0,0,1,1948
Paul Elvstrøm,Denmark,1,0,0,1,1948
Sigve Lie,Norway,1,0,0,1,1948
Lee Loomis,United States,1,0,0,1,1948
Mike Mooney,United States,1,0,0,1,1948
Stewart Morris,Great Britain,1,0,0,1,1948
Hilary Smart,United States,1,0,0,1,1948
Paul Smart,United States,1,0,0,1,1948
James Smith,United States,1,0,0,1,1948
Thor Thorvaldsen,Norway,1,0,0,1,1948
Jim Weekes,United States,1,0,0,1,1948
Herman Whiton,United States,1,0,0,1,1948
Delfo Cabrera,Argentina,1,0,0,1,1948
Jack Winter,Australia,1,0,0,1,1948
Herma Bauma,Austria,1,0,0,1,1948
Gaston Reiff,Belgium,1,0,0,1,1948
Tapio Rautavaara,Finland,1,0,0,1,1948
Olga Gyarmati,Hungary,1,0,0,1,1948
Imre Németh,Hungary,1,0,0,1,1948
Adolfo Consolini,Italy,1,0,0,1,1948
Xenia Stad-de Jong,Netherlands,1,0,0,1,1948
Gerda van der Kade-Koudijs,Netherlands,1,0,0,1,1948
Nettie Witziers-Timmer,Netherlands,1,0,0,1,1948
Arne Åhman,Sweden,1,0,0,1,1948
Henry Eriksson,Sweden,1,0,0,1,1948
John Ljunggren,Sweden,1,0,0,1,1948
John Mikaelsson,Sweden,1,0,0,1,1948
Tore Sjöstrand,Sweden,1,0,0,1,1948
Alice Coachman,United States,1,0,0,1,1948
Cliff Bourland,United States,1,0,0,1,1948
Art Harnden,United States,1,0,0,1,1948
Bob Mathias,United States,1,0,0,1,1948
Bill Porter,United States,1,0,0,1,1948
Guinn Smith,United States,1,0,0,1,1948
Willie Steele,United States,1,0,0,1,1948
Wilbur Thompson,United States,1,0,0,1,1948
Lorenzo Wright,United States,1,0,0,1,1948
Kalevi Laitinen,Finland,1,0,0,1,1948
Adolf Hoch,Austria,1,0,0,1,1948
Yrjö Lindegren,Finland,1,0,0,1,1948
Aale Tynni,Finland,1,0,0,1,1948
Albert Decaris,France,1,0,0,1,1948
Alfred Thomson,Great Britain,1,0,0,1,1948
Giani Stùparich,Italy,1,0,0,1,1948
Zbigniew Turski,Poland,1,0,0,1,1948
Gustaf Nordahl,Sweden,1,0,0,1,1948
Walter Lehmann,Switzerland,0,3,0,3,1948
Edoardo Mangiarotti,Italy,0,2,1,3,1948
Reg Harris,Great Britain,0,2,0,2,1948
Renzo Nostini,Italy,0,2,0,2,1948
Vincenzo Pinton,Italy,0,2,0,2,1948
János Mogyorósi-Klencs,Hungary,0,1,2,3,1948
Shirley Strickland de la Hunty,Australia,0,1,2,3,1948
Robert Selfelt,Sweden,0,1,1,2,1948
Christian Kipfer,Switzerland,0,1,1,2,1948
John Marshall,Australia,0,1,1,2,1948
Géza Kádas,Hungary,0,1,1,2,1948
György Mitró,Hungary,0,1,1,2,1948
Patsy Elsener,United States,0,1,1,2,1948
Alex Walter Diggelmann,Switzerland,0,1,1,2,1948
Don Scott,Great Britain,0,1,0,1,1948
Johnny Wright,Great Britain,0,1,0,1,1948
Spartaco Bandinelli,Italy,0,1,0,1,1948
Gianni Zuddas,Italy,0,1,0,1,1948
André Barrais,France,0,1,0,1,1948
Michel Bonnevie,France,0,1,0,1,1948
André Buffière,France,0,1,0,1,1948
René Chocat,France,0,1,0,1,1948
René Dérency,France,0,1,0,1,1948
Maurice Desaymonet,France,0,1,0,1,1948
André Even,France,0,1,0,1,1948
Maurice Girardot,France,0,1,0,1,1948
Fernand Guillou,France,0,1,0,1,1948
Raymond Offner,France,0,1,0,1,1948
Jacques Perrier,France,0,1,0,1,1948
Yvan Quénin,France,0,1,0,1,1948
Lucien Rebuffic,France,0,1,0,1,1948
Pierre Thiolon,France,0,1,0,1,1948
Jos Vissers,Belgium,0,1,0,1,1948
Dennis Shepherd,South Africa,0,1,0,1,1948
Gunnar Nilsson,Sweden,0,1,0,1,1948
Hank Herring,United States,0,1,0,1,1948
Douglas Bennett,Canada,0,1,0,1,1948
Frederik Kobberup Andersen,Denmark,0,1,0,1,1948
Ejvind Hansen,Denmark,0,1,0,1,1948
Bernhard Jensen,Denmark,0,1,0,1,1948
Kurt Wires,Finland,0,1,0,1,1948
Lida van der Anker-Doedens,Netherlands,0,1,0,1,1948
Ivar Mathisen,Norway,0,1,0,1,1948
Knut Østby,Norway,0,1,0,1,1948
Václav Havel,Czech Republic,0,1,0,1,1948
Jiří Pecka,Czech Republic,0,1,0,1,1948
Frank Havens,United States,0,1,0,1,1948
Bob Borg,United States,0,1,0,1,1948
Jaime García,Spain,0,1,0,1,1948
Marcelino Gavilán,Spain,0,1,0,1,1948
José Navarro,Spain,0,1,0,1,1948
Olof Stahre,Sweden,0,1,0,1,1948
Sigurd Svensson,Sweden,0,1,0,1,1948
Rino Pucci,Italy,0,1,0,1,1948
Alan Bannister,Great Britain,0,1,0,1,1948
Arnaldo Benfenati,Italy,0,1,0,1,1948
Guido Bernardi,Italy,0,1,0,1,1948
Anselmo Citterio,Italy,0,1,0,1,1948
Ernie Clements,Great Britain,0,1,0,1,1948
Bob Maitland,Great Britain,0,1,0,1,1948
Pierre Nihant,Belgium,0,1,0,1,1948
Ian Scott,Great Britain,0,1,0,1,1948
Tiny Thomas,Great Britain,0,1,0,1,1948
Gerrit Voorting,Netherlands,0,1,0,1,1948
Bob Adlard,Great Britain,0,1,0,1,1948
Norman Borrett,Great Britain,0,1,0,1,1948
Dave Brodie,Great Britain,0,1,0,1,1948
